,main_speaker,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
36,Ashraf Ghani,7.666666666666667,5.583333333333333,4.583333333333333,11.666666666666666,3.8333333333333335,3.0833333333333335,2.5,4.916666666666667,57.5,31.5,22.833333333333332,19.583333333333332
37,Burt Rutan,54.083333333333336,36.5,28.5,20.166666666666668,17.666666666666668,18.666666666666668,14.666666666666666,11.5,10.083333333333334,8.916666666666666,6.0,5.916666666666667
38,Ben Saunders,0.0,0.0,0.0,0.0,1.5,2.5,0.8333333333333334,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0
39,Bono,32.416666666666664,27.583333333333332,27.083333333333332,37.083333333333336,37.083333333333336,39.166666666666664,36.0,36.666666666666664,40.666666666666664,39.083333333333336,35.75,36.333333333333336
40,Edward Burtynsky,44.25,64.91666666666667,56.416666666666664,44.5,40.083333333333336,41.583333333333336,32.25,30.25,27.916666666666668,19.333333333333332,18.666666666666668,16.583333333333332
41,Robert Fischell,5.75,4.583333333333333,4.5,0.5833333333333334,1.8333333333333333,1.75,1.1666666666666667,1.0,1.25,1.3333333333333333,1.25,1.0833333333333333
42,Peter Donnelly,21.166666666666668,20.916666666666668,15.416666666666666,13.416666666666666,11.166666666666666,11.666666666666666,11.083333333333334,9.083333333333334,9.5,8.166666666666666,8.833333333333334,6.833333333333333
43,Michael Shermer,39.083333333333336,35.666666666666664,39.833333333333336,38.5,36.833333333333336,37.083333333333336,30.083333333333332,36.416666666666664,27.166666666666668,22.916666666666668,25.75,23.75
44,Ray Kurzweil,32.916666666666664,24.416666666666668,33.666666666666664,33.416666666666664,27.75,49.416666666666664,37.916666666666664,36.0,31.5,27.75,22.333333333333332,22.333333333333332
45,Kevin Kelly,66.5,55.833333333333336,54.75,56.916666666666664,49.666666666666664,48.75,47.333333333333336,43.916666666666664,40.916666666666664,45.333333333333336,43.166666666666664,45.833333333333336
46,Peter Gabriel,60.416666666666664,55.25,43.333333333333336,49.0,54.916666666666664,46.25,42.166666666666664,34.333333333333336,36.25,24.25,28.25,20.166666666666668
47,Richard St. John,0.5833333333333334,0.4166666666666667,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Rives,63.416666666666664,73.33333333333333,80.16666666666667,90.5,86.58333333333333,75.08333333333333,61.166666666666664,57.916666666666664,53.0,49.75,45.0,45.0
49,Dean Ornish,3.5,2.6666666666666665,3.0833333333333335,2.1666666666666665,2.5,2.3333333333333335,1.8333333333333333,1.6666666666666667,1.1666666666666667,1.1666666666666667,1.0,1.0
50,Robert Neuwirth,5.25,5.166666666666667,2.1666666666666665,2.3333333333333335,1.5833333333333333,1.9166666666666667,1.9166666666666667,2.0,1.4166666666666667,1.1666666666666667,1.0,1.1666666666666667
51,Bjorn Lomborg,25.25,51.916666666666664,28.416666666666668,24.25,20.916666666666668,13.333333333333334,10.666666666666666,11.0,7.916666666666667,12.583333333333334,5.083333333333333,7.333333333333333
52,Wade Davis,11.583333333333334,12.333333333333334,12.25,12.833333333333334,15.166666666666666,14.083333333333334,24.416666666666668,18.333333333333332,18.916666666666668,18.416666666666668,21.166666666666668,21.333333333333332
53,Phil Borges,2.0,2.8333333333333335,1.4166666666666667,1.0833333333333333,1.0,1.0,0.5,0.16666666666666666,0.25,0.4166666666666667,0.25,0.3333333333333333
54,Martin Rees,16.833333333333332,12.0,10.5,9.5,10.333333333333334,9.583333333333334,7.833333333333333,6.75,6.333333333333333,5.5,5.5,5.5
55,Robert Wright,74.08333333333333,59.666666666666664,55.833333333333336,61.333333333333336,49.833333333333336,41.75,39.25,35.416666666666664,34.25,31.5,28.75,35.416666666666664
56,Steven Johnson,48.083333333333336,45.916666666666664,45.833333333333336,50.416666666666664,62.25,66.75,69.58333333333333,67.25,69.33333333333333,67.08333333333333,56.833333333333336,54.083333333333336
57,Charles Leadbeater,1.5833333333333333,1.5833333333333333,1.9166666666666667,2.0,1.9166666666666667,1.5,1.1666666666666667,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666
58,Pilobolus,19.75,38.416666666666664,39.583333333333336,33.916666666666664,22.833333333333332,34.166666666666664,18.583333333333332,21.416666666666668,12.25,7.916666666666667,6.166666666666667,6.0
